Trip_ID,Trip_Start_Time,day_type,holiday_type,trip_direction,Route,Stamp,Origin,Destination,Distance_km,Boarding,Alighting
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 13:38:40,Kollupitiya,Senbreejat,2.4,0,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 13:46:40,Senbreejat,Borella,2.0,0,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 13:53:20,Borella,rajagiriya,1.7,0,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 13:59:00,rajagiriya,Athukotte,1.7,0,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 14:04:40,Athukotte,Battaramulla,1.2,0,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 14:08:40,Battaramulla,Koswatta,1.5,0,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 14:13:40,Koswatta,Malabe,3.1,0,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 14:24:00,Malabe,Pittugala,2.3,2,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 14:28:00,Pittugala,Kothalawala,1.8,4,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 14:32:00,Kothalawala,Kaduwela,1.7,1,0
1,2024-08-12 14:24:00,weekday,none,1,177 - Kollupitiya - Kaduwela,2024-08-12 14:37:40,Kaduwela,,0.0,0,7
2,2024-08-12 15:25:00,weekday,none,0,177 - Kaduwela - Kollupitiya,2024-08-12 15:25:00,Kaduwela,Kothalawala,1.7,18,0
2,2024-08-12 15:25:00,weekday,none,0,177 - Kaduwela - Kollupitiya,2024-08-12 15:30:00,Kothalawala,Pittugala,1.8,8,3
